p_name,p_type,p_org,cf_id
John Royall,guest participant,JP Morgan,4393624
,,,
Serena Xue,"IR, Manager","RYB Education, Inc. ",4393617
,,,
Yanlai Shi,"Co-Founder, Director and CEO","RYB Education, Inc. ",4393617
,,,
Hao Gu,CFO,"RYB Education, Inc. ",4393617
,,,
Elsie Sheng,guest participant,Morgan Stanley,4393617
,,,
Brendan Horgan,CEO,Ashtead Group plc ,4393601
,,,
Michael Pratt,Group Finance Director,Ashtead Group plc ,4393601
,,,
Andrew Wilson,guest participant,JPMorgan,4393601
,,,
Rory McKenzie,guest participant,UBS,4393601
,,,
Will Kirkness,guest participant,Jefferies,4393601
,,,
Arnaud Lehman,guest participant,Bank of America Merrill Lynch,4393601
,,,
Robert Wertheimer,guest participant,Melius Research,4393601
,,,
Edward Stanley,guest participant,Morgan Stanley,4393601
,,,
Andy Murphy,guest participant,Panmure Gordon,4393601
,,,
Zeeshan Hyder,Chief Financial Officer,MedMen Enterprises Inc. ,4393501
,,,
Tom Lynch,Chief Executive Officer,MedMen Enterprises Inc. ,4393501
,,,
Tim Bossidy,Chief Operating Officer,MedMen Enterprises Inc. ,4393501
,,,
Vivien Azer,guest participant,Cowen,4393501
,,,
Scott Fortune,guest participant,ROTH Capital Partners,4393501
,,,
Richard Putnam,Investor Relations,"HealthEquity, Inc. ",4393467
,,,
Jon Kessler,President & Chief Executive Officer ,"HealthEquity, Inc. ",4393467
,,,
Steve Neeleman,Vice Chair & Founder,"HealthEquity, Inc. ",4393467
,,,
Tyson Murdock,Executive Vice President & Deputy Chief Financial Officer,"HealthEquity, Inc. ",4393467
,,,
Darcy Mott,Executive Vice President & Chief Financial Officer,"HealthEquity, Inc. ",4393467
,,,
Ted Bloomberg,Executive Vice President & Chief Operating Officer,"HealthEquity, Inc. ",4393467
,,,
Anne Samuel,guest participant,JPMorgan,4393467
,,,
Greg Peters,guest participant,Raymond James,4393467
,,,
Robert Jones,guest participant,Goldman Sachs,4393467
,,,
George Hill,guest participant,Deutsche Bank,4393467
,,,
Sean Dodge,guest participant,RBC Capital Markets,4393467
,,,
Sandy Draper,guest participant,Truist Securities,4393467
,,,
Stephanie Davis,guest participant,SVB Leerink,4393467
,,,
Don Hooker,guest participant,KeyBanc,4393467
,,,
Mark Marcon,guest participant,Baird,4393467
,,,
Allen Lutz,guest participant,Bank of America,4393467
,,,
